source_predictor,variable_type,overall_missingness,outer1_training_missingness,indicator_generated_outer1,survived_step2_outer1,outer2_training_missingness,indicator_generated_outer2,survived_step2_outer2,outer3_training_missingness,indicator_generated_outer3,survived_step2_outer3,outer4_training_missingness,indicator_generated_outer4,survived_step2_outer4,outer5_training_missingness,indicator_generated_outer5,survived_step2_outer5,indicator_generated_any_fold,indicator_generated_all_folds,transformed_indicator_feature
x_lab_calcium_n,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_n
x_lab_magnesium_first,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_first
x_lab_magnesium_last,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_last
x_lab_magnesium_min,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_min
x_lab_magnesium_max,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_max
x_lab_magnesium_mean,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_mean
x_lab_magnesium_n,numeric,0.49852114000444514,0.4908446039783775,True,True,0.4967948717948718,True,True,0.4932520586033579,True,True,0.5093476913873042,True,False,0.5023609597675363,True,False,True,True,missingindicator_x_lab_magnesium_n
x_lab_phosphate_first,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_first
x_lab_phosphate_last,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_last
x_lab_phosphate_min,numeric,0.6746166076832333,0.659017584342884,True,False,0.6782692307692307,True,False,0.6637151106833494,True,False,0.6951691130910411,True,False,0.6769010533512809,True,False,True,True,missingindicator_x_lab_phosphate_min
