predictor,clinical_domain,data_type,source_table_field,extraction_window,overall_missingness,min_hospital_missingness,max_hospital_missingness,hospitals_completely_unavailable,missingness_indicator_generated,removed_folds,removed_fold_count,retained_all_folds
x_lab_platelets_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_platelets_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_wbc_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.30965447675710794,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_albumin_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_albumin_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6220615137371561,0.21052631578947367,1.0,2,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_bilirubin_total_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6516729069429484,0.25,1.0,6,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_inr_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.6473132618693475,0.36,1.0,8,Yes when missing in training,"1,2,3,4,5",5,False
x_lab_anion_gap_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_lab_anion_gap_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_lab_anion_gap_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_lab_anion_gap_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_lab_anion_gap_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_lab_anion_gap_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3679198509172351,0.0,1.0,35,Yes when missing in training,,0,True
x_vital_heart_rate_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015472465849446924,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_heart_rate_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.015352789318014738,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.02576464755261493,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_sao2_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.024858525243199807,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_respiratory_rate_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08963772204270742,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_respiratory_rate_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.08864611649655503,0.0,1.0,3,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.0673436939016259,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_systolic_bp_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05773537809235609,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.06732659725427843,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_diastolic_bp_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.05771828144500863,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_first,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_last,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_min,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_max,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_mean,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_sd,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.06720692072284624,0.0,1.0,2,Yes when missing in training,,0,True
x_vital_noninvasive_mean_bp_n,Vitals,numeric,feature_vitals_v1,admission/0–12 h,0.057496025029491714,0.0,1.0,2,Yes when missing in training,,0,True
