outer_fold,selected_candidate,source_predictor,transformed_column_count,mean_absolute_grouped_shap,mean_signed_grouped_shap,fold_rank
1,XGB04,x_vital_sao2_mean,2,0.07224072739731144,-0.008108861298439555,7
1,XGB04,x_vital_sao2_sd,2,0.10883281995421422,-0.0232912602371086,4
1,XGB04,x_vital_sao2_n,2,0.0071167793602966,0.00013246610321342457,79
1,XGB04,x_vital_respiratory_rate_first,2,0.00984546531043068,-0.001179523830234569,59
1,XGB04,x_vital_respiratory_rate_last,2,0.035623365477010026,-0.00615380799774057,24
1,XGB04,x_vital_respiratory_rate_min,2,0.04009647604294909,-0.0099653701717783,21
1,XGB04,x_vital_respiratory_rate_max,2,0.0058253092728455256,0.0003508100426437327,96
1,XGB04,x_vital_respiratory_rate_mean,2,0.07655950439237692,-0.009728607419079393,6
1,XGB04,x_vital_respiratory_rate_sd,2,0.048539581454640046,-0.008188761570219331,15
1,XGB04,x_vital_respiratory_rate_n,2,0.007848332193407073,-0.00010612864345745091,76
1,XGB04,x_vital_noninvasive_systolic_bp_first,2,0.023992007101768388,-0.001409447083008745,30
1,XGB04,x_vital_noninvasive_systolic_bp_last,2,0.04603413754328029,-0.009428957866725936,16
1,XGB04,x_vital_noninvasive_systolic_bp_min,2,0.043142494968686884,-0.005645329550535715,19
1,XGB04,x_vital_noninvasive_systolic_bp_max,2,0.014237453676526306,-0.0028180903880347316,49
1,XGB04,x_vital_noninvasive_systolic_bp_mean,2,0.005420859415942906,-0.0004584358854487228,103
1,XGB04,x_vital_noninvasive_systolic_bp_sd,2,0.050191255084357775,-0.0122891158808402,14
1,XGB04,x_vital_noninvasive_systolic_bp_n,2,0.005964882546152823,-0.001085872878504157,93
1,XGB04,x_vital_noninvasive_diastolic_bp_first,2,0.021618761572284036,0.003921999130234936,31
1,XGB04,x_vital_noninvasive_diastolic_bp_last,2,0.006599944810676316,-0.000815876055195966,84
1,XGB04,x_vital_noninvasive_diastolic_bp_min,2,0.0029887834421325255,0.00017117648168680453,123
1,XGB04,x_vital_noninvasive_diastolic_bp_max,2,0.001977450027463505,2.6497361237273412e-05,137
1,XGB04,x_vital_noninvasive_diastolic_bp_mean,2,0.015197071837925806,0.001380244934009019,45
1,XGB04,x_vital_noninvasive_diastolic_bp_sd,2,0.017721763538982183,-0.00022970972878444878,39
1,XGB04,x_vital_noninvasive_diastolic_bp_n,2,0.005921724418064659,-0.0013398372239301624,94
1,XGB04,x_vital_noninvasive_mean_bp_first,2,0.017297578604210537,0.0014210613863201039,41
1,XGB04,x_vital_noninvasive_mean_bp_last,2,0.014607157405693991,-0.0030304125175238,47
1,XGB04,x_vital_noninvasive_mean_bp_min,2,0.00857671207834598,-0.001604187481981961,66
1,XGB04,x_vital_noninvasive_mean_bp_max,2,0.006421975175088324,-0.0008351090681852558,86
